year,month,open,high,low,close,volume
2018,3,177.01,177.17,161.95,166.14,193493607
2018,3,185.23,186.1,181.11,185.09,87595042
2018,3,176.2,185.51,175.89,185.23,83662089
2018,3,184.58,185.66,172.99,176.62,94503755
2018,2,175.77,183.39,175.11,183.29,79438763
2018,2,177.06,180.5,171.84,177.36,121571371
2018,2,186.93,190.61,167.18,176.11,166459969
2018,2,188.75,195.32,181.84,190.28,146828394
2018,1,180.8,190.66,180.41,190.0,101866494
2018,1,181.5,182.37,175.8,181.29,111433994
2018,1,187.2,188.9,177.4,179.37,123027236
2018,1,177.68,186.9,177.55,186.85,60887131
2017,12,176.63,178.9367,174.67,176.46,39060841
2017,12,181.01,181.3,176.23,177.2,63051859
2017,12,179.3,180.4934,176.6,180.18,83331115
2017,12,176.29,182.28,169.01,179.0,103237482
2017,12,182.56,184.25,172.34,175.1,112949299
2017,11,178.87,183.15,178.1,182.78,44125846
2017,11,177.5,179.98,176.4,179.0,56980476
2017,11,178.56,180.75,177.09,178.46,59632861
2017,11,179.26,182.9,176.71,178.92,125560688
2017,10,175.2,178.21,168.89,177.88,81147435
2017,10,174.49,176.74,172.63,174.98,64726951
2017,10,172.7,174.88,170.8,173.74,60345368
2017,10,171.39,172.37,168.29,172.23,59671804
2017,9,169.24,171.66,161.56,170.87,109568157
2017,9,171.99,173.05,169.22,170.54,60486408
2017,9,172.4,174.0,170.26,171.64,63133739
2017,9,171.27,173.49,169.55,170.95,55694035
2017,9,166.91,172.92,165.0,172.02,59107056
2017,8,167.16,169.87,165.82,166.32,58915675
2017,8,170.09,171.5,166.21,167.41,68713474
2017,8,169.95,173.05,166.85,168.08,70932441
2017,8,172.0,172.72,166.91,169.62,76948140
2017,7,164.64,175.49,163.86,172.45,147942798
2017,7,160.25,165.7,158.81,164.43,94893412
2017,7,151.69,160.32,151.51,159.97,79001017
2017,7,151.72,152.15,147.8,151.44,55915968
2017,6,156.25,156.5,148.92,150.98,92141500
2017,6,151.71,155.2,151.71,155.07,76973151
2017,6,148.17,152.4,144.56,150.64,115154831
2017,6,153.64,155.59,146.61,149.6,90189623
2017,6,151.97,153.63,150.3,153.61,62101184
2017,5,148.08,152.59,147.25,152.13,77503263
2017,5,150.17,151.48,144.42,148.06,95124319
2017,5,150.71,152.59,148.86,150.33,65762771
2017,5,151.74,153.6,148.72,150.24,120791432
2017,4,144.96,151.53,144.34,150.25,84248409
2017,4,139.76,144.25,139.75,143.68,70241246
2017,4,141.0,141.43,138.81,139.39,48255523
2017,4,141.93,143.44,140.24,140.78,70585483
2017,3,139.05,142.95,138.77,142.05,67889816
2017,3,139.71,142.31,137.6,140.34,88737188
2017,3,138.71,140.34,138.49,139.84,77450054
2017,3,136.88,139.49,136.51,138.79,68309197
2017,3,135.26,137.82,134.75,137.17,70131137
2017,2,133.5,136.79,132.9,135.44,73167492
2017,2,134.7,134.7,132.55,133.53,66225214
2017,2,130.98,134.94,130.3,134.19,85578047
2017,2,131.58,135.49,129.5157,130.98,168057691
2017,1,127.31,133.14,126.95,132.18,90093256
2017,1,128.04,128.48,126.78,127.04,59733000
2017,1,123.55,129.27,123.04,128.34,102099712
2017,1,116.03,123.88,115.51,123.41,88332257
2016,12,116.96,118.68,114.7739,115.05,52757837
2016,12,119.85,120.36,116.3,117.27,67518766
2016,12,119.22,122.5,117.61,119.87,118950517
2016,12,115.95,119.94,115.07,119.68,101153880
2016,12,120.12,122.1,114.0,115.4,135528550
2016,11,118.2,122.98,117.8,120.38,85835270
2016,11,119.1256,119.13,113.5535,117.02,159933425
2016,11,122.83,124.61,115.27,119.02,175072509
2016,11,132.01,132.12,119.25,120.75,182248711
2016,10,132.72,133.5,129.27,131.29,85178685
2016,10,128.2,132.13,127.32,132.07,73864266
2016,10,129.68,130.7,126.75,127.88,74234237
2016,10,128.38,129.2765,127.5499,128.99,64338393
2016,9,127.37,129.47,126.8,128.27,75684873
2016,9,129.91,130.73,127.3,127.96,83975511
2016,9,125.96,129.18,125.75,129.07,94220304
2016,9,126.67,131.98,126.47,127.1,97046477
2016,9,124.35,126.86,124.35,126.51,73585720
2016,8,123.33,125.19,123.09,124.96,68175168
2016,8,124.91,124.92,122.78,123.56,71400800
2016,8,125.25,126.09,124.18,124.88,69413518
2016,8,123.85,125.835,122.07,125.15,108750605
2016,7,121.39,128.33,117.78,123.94,202768213
2016,7,117.32,122.2,116.89,121.0,98680184
2016,7,117.71,118.72,116.58,116.86,80362632
2016,7,113.94,117.5,112.97,117.24,73317421
2016,7,111.57,115.18,108.23,114.19,122364460
2016,6,113.77,115.2142,111.0,112.08,111618013
2016,6,115.0,115.48,112.56,113.02,113036713
2016,6,118.62,119.43,116.26,116.62,76723361
2016,6,119.46,120.1,117.82,118.47,65940515
2016,5,117.42,119.85,115.94,119.38,92635028
2016,5,119.38,119.61,115.88,117.35,113707721
2016,5,119.54,121.08,114.8,119.81,106556252
2016,5,117.83,119.637,116.57,119.49,124113388
2016,4,109.87,120.79,106.31,117.58,220003210
2016,4,109.74,114.04,109.01,110.56,131738986
2016,4,110.7,112.65,106.52,109.64,203633903
2016,4,114.07,114.89,109.9,110.63,161477263
2016,4,113.32,116.99,112.95,116.06,130380305
2016,3,111.66,113.19,111.03,113.05,73850143
2016,3,109.28,112.69,108.77,111.45,120110727
2016,3,108.07,109.42,104.4,109.41,122783863
2016,3,107.6,110.55,106.75,108.39,131558421
2016,2,105.49,109.45,102.74,107.92,152033937
2016,2,103.8,106.0,100.24,104.57,151758617
2016,2,100.41,105.11,96.82,102.01,258965528
2016,2,112.27,117.59,103.18,104.07,278615561
2016,1,98.72,112.84,94.23,112.21,288273329
2016,1,96.53,98.07,89.37,97.94,151064011
2016,1,97.91,100.58,92.45,94.97,186529732
2016,1,101.95,103.77,97.0311,97.33,166842028
2015,12,105.02,107.74,104.53,104.66,61755705
2015,12,104.91,106.11,103.6,105.02,56847715
2015,12,102.285,107.75,101.46,104.04,126928259
2015,12,106.48,106.91,101.91,102.12,103275988
2015,12,105.84,107.92,103.35,106.18,112055316
2015,11,107.19,107.468,104.39,105.45,64538364
2015,11,103.32,107.88,100.47,107.32,147570086
2015,11,107.0,109.87,103.83,103.95,127675397
2015,11,102.46,110.65,101.18,107.095,187032796
2015,10,102.2,105.12,101.55,101.97,127641994
2015,10,97.18,102.85,96.47,102.19,145817167
2015,10,93.32,97.59,92.67,97.54,110153632
2015,10,92.94,94.27,90.47,93.24,121213503
2015,10,92.08,92.29,85.72,92.07,185521264
2015,9,94.62,96.49,91.92,92.77,145447879
2015,9,92.31,95.51,91.6,94.4,145450202
2015,9,89.69,92.08,88.83,92.05,107186113
2015,9,90.59,91.05,86.5,88.26,150515428
2015,8,77.03,91.48,72.0,91.01,256503519
2015,8,94.42,96.1,85.61,86.06,171220554
2015,8,95.68,95.9,91.19,94.42,104616983
2015,8,93.53,98.74,92.8,94.3,144578837
2015,7,96.58,97.28,91.8,94.01,271190062
2015,7,95.85,99.24,94.81,96.95,185477154
2015,7,88.66,95.39,88.42,94.97,163296841
2015,7,86.49,88.22,85.231,87.95,128648451
2015,7,86.61,87.95,85.57,87.285,101359881
2015,6,83.41,89.4,83.31,88.01,186937773
2015,6,80.55,83.19,80.07,82.51,100984807
2015,6,81.82,82.9,79.32,81.53,85018910
2015,6,79.3,82.95,78.66,82.14,105824275
2015,5,80.43,81.0745,78.88,79.19,58598792
2015,5,80.33,81.69,79.46,80.54,95596648
2015,5,78.48,81.845,76.79,80.42,138179553
2015,5,79.33,79.69,77.05,78.51,105359358
2015,5,81.87,82.93,78.11,78.99,128786997
2015,4,81.54,85.59,81.24,81.53,204905012
2015,4,81.93,83.94,80.37,80.775,106892880
2015,4,80.8,83.42,80.8,82.04,83953727
2015,4,83.81,84.34,80.87,81.555,85984183
2015,3,83.92,86.0699,82.14,83.3,148537384
2015,3,77.96,84.6,77.36,83.8,164953667
2015,3,79.68,79.91,77.26,78.05,96858473
2015,3,79.0,81.99,78.52,80.005,120738510
2015,2,79.96,81.37,78.1,78.97,130481077
2015,2,75.3,80.34,75.08,79.895,130463696
2015,2,74.05,76.87,73.45,75.74,88739929
2015,2,76.11,76.35,73.75,74.47,125463907
2015,1,77.98,78.47,74.21,75.91,196620178
2015,1,75.72,78.19,74.82,77.83,84184312
2015,1,77.84,78.08,73.54,75.18,126213822
2015,1,77.98,79.2455,75.365,77.74,120861874
2015,1,80.49,80.96,77.7,78.45,66723343
2014,12,80.08,82.17,80.0,80.775,69594459
2014,12,78.46,80.0,74.59,79.88,167712102
2014,12,76.18,78.88,74.78,77.83,144887247
2014,12,77.26,77.31,74.4,76.36,103950573
2014,11,73.54,78.27,73.35,77.7,103067656
2014,11,74.88,75.655,72.51,73.75,117054241
2014,11,75.36,75.4799,73.54,74.88,112772187
2014,11,75.47,76.8,73.65,75.6,158123964
2014,10,80.74,81.16,72.9,74.99,338314088
2014,10,75.6,80.8183,75.38,80.67,176119376
2014,10,73.23,76.0,70.32,75.95,285636340
2014,10,77.19,77.95,72.76,72.91,168655529
2014,10,78.12,79.7067,75.64,77.44,184848021
2014,9,77.0,78.94,75.95,78.79,165462223
2014,9,77.15,78.3,73.07,77.91,215518600
2014,9,77.26,78.36,76.2,77.48,145678400
2014,9,75.01,77.48,74.82,77.26,123148800
2014,8,74.94,75.99,73.73,74.82,127963000
2014,8,74.0,75.58,73.57,74.57,114360300
2014,8,73.46,74.65,72.22,73.63,142146400
2014,8,72.36,74.0,71.79,73.06,161666600
2014,8,75.17,75.5,71.55,72.36,206955500
2014,7,68.81,76.74,68.5,75.19,336999300
2014,7,67.13,68.46,66.04,68.4199,192509200
2014,7,66.3,66.59,62.21,66.34,232496700
2014,7,67.46,68.44,65.76,66.29,127278000
2014,6,64.32,68.0,64.22,67.6,230054600
2014,6,64.16,65.75,63.35,64.5,174528200
2014,6,62.4,66.47,61.79,64.5,235965400
2014,6,63.23,64.36,62.05,62.5,194416700
2014,5,61.62,64.3,61.57,63.3,191430500
2014,5,57.89,61.48,57.57,61.351,248451000
2014,5,57.98,60.89,57.31,58.0199,249276000
2014,5,59.67,61.35,56.26,57.24,294380000
2014,5,58.05,62.28,54.66,60.46,396026000
2014,4,59.46,63.65,57.57,57.71,448831000
2014,4,60.09,60.58,55.88,58.94,347762000
2014,4,55.9,63.18,55.44,58.53,493979000
2014,4,60.78,63.91,56.32,56.749,387652400
2014,3,67.19,67.36,57.98,60.01,431687900
2014,3,68.18,69.6,66.1786,67.24,241443900
2014,3,70.77,72.59,67.46,67.72,270938400
2014,3,66.96,71.97,66.51,69.8,258358800
2014,2,68.74,71.44,67.38,68.46,292457400
2014,2,66.94,70.11,65.727,68.59,307758300
2014,2,64.3,67.58,63.35,67.09,235230400
2014,2,63.03,64.57,60.7,64.32,275328000
2014,1,54.73,63.37,51.85,62.57,453084400
2014,1,56.6,59.31,54.4,54.45,213174600
2014,1,57.91,58.57,55.38,56.3,209568900
2014,1,54.42,58.96,54.05,57.94,337445200
2014,1,54.93,55.65,53.43,54.557,192824900
2013,12,55.5,58.58,55.25,55.44,260481800
2013,12,53.25,55.89,52.91,55.12,569450200
2013,12,48.09,53.5,47.74,53.32,345675000
2013,12,46.9,49.39,46.26,47.94,230543000
2013,11,46.36,47.21,43.55,47.01,232527900
2013,11,48.47,48.84,45.72,46.23,290876000
2013,11,47.04,49.57,45.73,49.01,345921000
2013,11,49.365,50.45,47.25,47.53,392954000
2013,11,51.54,52.09,46.5,49.75,646530000
2013,10,54.68,54.81,51.13,51.95,290506000
2013,10,48.31,54.825,47.91,54.22,374408000
2013,10,50.73,51.29,45.26,49.11,498784000
2013,10,50.14,51.6,49.06,51.04,417535000
2013,9,47.28,51.28,46.29,51.24,479403400
2013,9,44.85,47.6,42.43,47.49,421156600
2013,9,44.36,45.62,43.11,44.31,323500900
2013,9,41.84,44.61,41.44,43.95,258927900
2013,8,40.9,42.26,39.42,41.294,350814200
2013,8,37.43,40.63,37.14,40.55,270095200
2013,8,38.2,38.5,36.0201,37.08,247326000
2013,8,38.43,39.32,37.7,38.5,297633700
2013,8,34.07,38.49,34.01,38.05,632255300
2013,7,25.99,34.88,25.72,34.01,639870300
2013,7,25.93,26.78,25.6,25.881,147916700
2013,7,24.47,26.0,24.42,25.91,127489600
2013,7,24.9694,25.0601,24.15,24.37,69610200
2013,6,23.95,24.98,23.38,24.88,226702500
2013,6,23.91,25.19,23.65,24.53,190763700
2013,6,24.06,24.6,23.26,23.63,176591100
2013,6,24.265,24.32,22.67,23.291,194274200
2013,5,24.54,24.95,23.26,24.348,210975700
2013,5,26.18,26.19,24.08,24.3125,210369700
2013,5,26.6,27.325,25.9,26.25,149260700
2013,5,28.33,28.46,26.57,26.68,184157700
2013,5,27.16,29.07,26.86,28.311,292777800
2013,4,25.81,27.62,25.7,26.85,120777000
2013,4,27.16,27.48,25.15,25.73,143521800
2013,4,27.19,28.1,26.42,27.4,156582400
2013,4,25.63,27.8,25.28,27.39,252181200
2013,3,25.75,26.28,24.72,25.58,147039300
2013,3,26.37,26.9,25.56,25.73,138706800
2013,3,28.01,28.64,26.56,26.645,162075000
2013,3,27.76,28.675,27.21,27.96,225294600
2013,3,27.16,28.1164,26.34,27.78,247676000
2013,2,28.23,29.08,26.82,27.13,177487100
2013,2,28.61,28.75,27.1,28.32,249749600
2013,2,29.06,29.29,28.01,28.545,250935200
2013,2,31.88,32.5063,28.74,29.73,496942700
2013,1,29.75,31.93,29.74,31.54,202351800
2013,1,32.08,32.21,29.27,29.66,437356300
2013,1,28.69,31.96,28.65,31.72,419355200
2013,1,26.2,28.93,26.11,28.76,266076900
2012,12,26.5,27.18,25.15,25.9112,161462000
2012,12,26.77,28.22,26.12,26.26,269775700
2012,12,27.17,28.75,26.76,26.812,347095000
2012,12,27.9999,28.88,26.68,27.485,353125000
2012,11,24.935,28.0,24.81,28.0,474640500
2012,11,23.955,24.68,22.7,23.998,251059900
2012,11,19.15,23.93,18.87,23.5607,554915200
2012,11,21.1,21.48,19.13,19.21,170816300
2012,11,20.82,21.69,20.73,21.18,175436500
2012,10,19.25,24.25,19.05,21.9425,489096200
2012,10,19.68,20.48,18.8,19.0,173091300
2012,10,20.4,20.75,19.45,19.5181,139347000
2012,10,22.08,22.59,20.88,20.91,200025600
2012,9,21.78,21.98,19.8,21.66,259372000
2012,9,22.67,23.37,21.37,22.86,274677900
2012,9,19.06,22.08,18.55,22.0,334751400
2012,9,18.08,19.42,17.55,18.98,189842400
2012,8,19.49,19.53,18.03,18.058,151657400
2012,8,19.05,20.13,18.75,19.409,284155300
2012,8,22.15,22.45,19.0,19.05,399001700
2012,8,21.39,22.45,20.22,21.807,135504600
2012,8,23.995,24.04,19.82,21.09,267091200
2012,7,28.12,29.49,22.28,23.705,228860400
2012,7,30.5,30.5,27.15,28.76,97506700
2012,7,32.1,32.88,30.55,30.72,64494000
2012,7,31.25,31.9,30.55,31.73,43863300
2012,6,32.86,33.44,30.76,31.095,115019800
2012,6,29.955,33.45,29.41,33.05,186090800
2012,6,27.18,30.1,26.835,30.014,121558000
2012,6,27.2,27.76,25.52,27.1,203386400
2012,6,31.48,31.69,26.83,27.72,288826000
2012,5,36.53,36.66,30.94,31.91,430966300
